"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
52,621566,"Olson, Matt",2914,1.8,1,3,,4,2.002,1.537,0.783,52,52,106.7,30.8,2213,89,89.42,0,52,0,0.4000000000000057,6.49,118,146,128,152,303,329,304,"-72.7","72.7"
45,624413,"Alonso, Pete",2401,1.9,1,3,,4,2.002,1.688,0.886,45,45,108.8,26.9,2230,90.4,90.67,0,45,0,0.29999999999999716,6.4,104,152,122,147,304,326,297,"-67.7","67.7"
45,656941,"Schwarber, Kyle",2918,1.5,1,3,,4,2.002,1.593,0.833,45,45,106.7,27.3,2234,88.7,88.73,0,45,0,0,6.29,122,147,122,152,297,327,301,"-63.3","63.3"
44,660271,"Ohtani, Shohei",2303,1.9,1,3,,4,2.002,1.799,0.918,44,44,109.1,27.9,2285,88.7,89.23,0,44,0,0.5,6.64,114,146,129,151,304,330,307,"-59.3","59.3"
39,660670,"Acuña Jr., Ronald",2631,1.5,1,3,,4,2.002,1.709,0.888,39,39,109.1,26.1,2285,88.6,89.02,0,39,0,0.4000000000000057,6.45,109,152,123,147,312,332,299,"-52.1","52.1"
39,605141,"Betts, Mookie",2537,1.5,1,3,,4,2.002,1.408,0.742,39,39,103.9,28.5,2238,89.2,89.36,0,39,0,0.20000000000000284,6.36,114,152,122,147,304,322,297,"-48.1","48.1"
37,673357,"Robert Jr., Luis",2155,1.7,1,3,,4,2.002,1.632,0.855,37,37,105.8,26.4,2331,88.1,88.41,0,37,0,0.30000000000001137,6.44,109,152,120,147,302,326,297,"-47.6","47.6"
36,624585,"Soler, Jorge",2191,1.6,1,3,,4,2.002,1.565,0.815,36,36,106.3,28.1,2240,89.7,89.78,0,36,0,0.09999999999999432,6.34,108,151,123,145,308,326,298,"-46.8","46.8"
36,663586,"Riley, Austin",2676,1.3,1,3,,4,2.002,1.532,0.791,36,36,105.9,27.7,2247,87.6,88.05,0,36,0,0.4000000000000057,6.44,108,149,122,146,310,328,301,"-49.7","49.7"
36,571970,"Muncy, Max",2303,1.6,1,3,,4,2.002,1.54,0.779,36,36,105.6,30.9,2194,90,90.38,0,36,0,0.4000000000000057,6.46,113,144,128,152,296,323,302,"-50.5","50.5"
35,542303,"Ozuna, Marcell",2200,1.6,1,3,,4,2.002,1.561,0.79,35,35,106.4,30.2,2281,89,89.42,0,35,0,0.4000000000000057,6.45,110,153,124,148,309,330,298,"-44.6","44.6"
35,666969,"García, Adolis",2396,1.5,1,3,,4,2.002,1.564,0.819,35,35,105.3,28.1,2276,88.9,88.82,0,35,0,-0.10000000000000853,6.34,110,152,121,148,310,333,298,"-53.5","53.5"
33,646240,"Devers, Rafael",2447,1.3,1,3,,4,2.002,1.584,0.811,33,33,106,29.4,2320,88.4,88.62,0,33,0,0.19999999999998863,6.4,115,145,123,151,287,330,305,"-45.5","45.5"
33,669394,"Burger, Jake",1941,1.7,1,3,,4,2.002,1.43,0.771,33,33,106,26.8,2292,88.7,89.2,0,33,0,0.5,6.53,107,151,121,145,306,323,290,"-46.9","46.9"
32,665742,"Soto, Juan",2756,1.2,1,3,,4,2.002,1.683,0.873,32,32,107.2,27.2,2266,92,92.13,0,32,0,0.09999999999999432,6.37,116,145,126,151,295,328,307,"-44.5","44.5"
32,592450,"Judge, Aaron",1763,1.8,1,3,,4,2.002,1.655,0.844,32,32,108.9,29.6,2209,90.3,90.69,0,32,0,0.4000000000000057,6.54,108,152,125,146,308,333,295,"-41.5","41.5"
31,608369,"Seager, Corey",1699,1.8,1,3,,4,2.002,1.523,0.792,31,31,105.3,28.5,2209,89.4,89.15,0,31,0,-0.20000000000000284,6.17,121,146,127,152,303,333,303,"-39","39"
31,677594,"Rodríguez, Julio",2353,1.3,1,3,,4,2.002,1.428,0.758,31,31,105.1,28.7,2276,87.8,88.08,0,31,0,0.29999999999999716,6.35,108,151,121,147,303,325,292,"-41.9","41.9"
31,645277,"Albies, Ozzie",2369,1.3,1,3,,4,2.002,1.034,0.539,31,31,101.3,31.8,2229,90.4,90.8,0,31,0,0.3999999999999915,6.42,115,145,116,150,299,326,298,"-43.9","43.9"
30,572233,"Walker, Christian",2529,1.2,1,3,,4,2.002,1.324,0.703,30,30,104.4,29.6,2267,87.9,87.95,0,30,0,0,6.28,111,152,122,147,306,329,301,"-42.1","42.1"
29,663728,"Raleigh, Cal",2187,1.3,1,3,,4,2.002,1.511,0.782,29,29,105.5,28.8,2197,89.8,90.16,0,29,0,0.4000000000000057,6.41,113,146,128,151,293,325,293,"-38.8","38.8"
29,679529,"Torkelson, Spencer",2607,1.1,1,3,,4,2.002,1.425,0.75,29,29,103.9,28.9,2322,88.7,89.16,0,29,0,0.5,6.5,107,150,122,145,301,327,293,"-38.8","38.8"
29,670623,"Paredes, Isaac",2192,1.3,1,3,,4,2.002,0.858,0.478,29,29,100.2,30.7,2237,90.4,90.59,0,29,0,0.19999999999998863,6.47,113,151,123,146,300,327,295,"-39.3","39.3"
29,502110,"Martinez, J.D.",1727,1.7,1,3,,4,2.002,1.433,0.736,29,29,104.3,30.4,2276,89.5,89.89,0,29,0,0.4000000000000057,6.41,110,152,124,147,307,323,296,"-44.9","44.9"
29,677951,"Witt Jr., Bobby",2531,1.1,1,3,,4,2.002,1.578,0.829,29,29,105.2,26.8,2201,87.5,87.94,0,29,0,0.4000000000000057,6.46,110,150,118,145,308,329,297,"-37.6","37.6"
28,663656,"Tucker, Kyle",2415,1.2,1,3,,4,2.002,1.455,0.751,28,28,104,29,2229,88.3,88.58,0,28,0,0.29999999999999716,6.5,114,144,128,152,295,328,302,"-39.7","39.7"
28,670541,"Alvarez, Yordan",1771,1.6,1,3,,4,2.002,1.543,0.81,28,28,107.5,27.9,2253,87,86.99,0,28,0,0,6.25,117,142,125,149,298,334,304,"-42.3","42.3"
28,592518,"Machado, Manny",2204,1.3,1,3,,4,2.002,1.277,0.713,28,28,104.8,27.2,2329,88.1,88.22,0,28,0,0.10000000000000853,6.34,111,151,124,148,300,325,298,"-37.3","37.3"
27,667670,"Rooker, Brent",1968,1.4,1,3,,4,2.002,1.486,0.773,27,27,104.8,29.7,2264,89.6,89.91,0,27,0,0.30000000000001137,6.39,107,151,120,145,304,325,293,"-36.8","36.8"
27,592206,"Castellanos, Nick",2313,1.2,1,3,,4,2.002,1.209,0.625,27,27,103.1,31.6,2290,87.2,87.51,0,27,0,0.29999999999999716,6.46,104,149,122,145,305,328,293,"-40.4","40.4"
27,683002,"Henderson, Gunnar",2241,1.2,1,3,,4,2.002,1.435,0.752,27,27,104.8,28.7,2247,86.4,86.7,0,27,0,0.29999999999999716,6.44,117,148,118,152,297,328,299,"-40.3","40.3"
27,623993,"Santander, Anthony",2577,1,1,3,,4,2.002,1.348,0.717,27,27,103,28,2218,90,90.55,0,27,0,0.5,6.59,114,147,129,151,300,329,298,"-39.3","39.3"
27,669357,"Gorman, Nolan",1888,1.4,1,3,,4,2.002,1.66,0.851,27,27,105.7,29.2,2206,89.3,89.46,0,27,0,0.20000000000000284,6.27,110,145,118,150,296,326,306,"-42.4","42.4"
26,596019,"Lindor, Francisco",2590,1,1,3,,4,2.002,1.374,0.737,26,26,103.5,27.5,2175,89.1,89.3,0,26,0,0.20000000000000284,6.37,112,149,120,149,298,324,298,"-36.3","36.3"
26,607208,"Turner, Trea",2544,1,1,3,,4,2.002,1.24,0.662,26,26,102.9,29.3,2242,89.3,89.17,0,26,0,-0.09999999999999432,6.28,107,150,118,146,298,324,290,"-34.4","34.4"
26,657041,"Thomas, Lane",2459,1.1,1,3,,4,2.002,1.421,0.764,26,26,104.5,28,2278,89.6,89.85,0,26,0,0.30000000000001137,6.35,111,152,119,148,303,320,291,"-33.5","33.5"
26,641355,"Bellinger, Cody",2009,1.3,1,3,,4,2.002,1.208,0.636,26,26,102.4,30,2166,87.6,87.85,0,26,0,0.30000000000001137,6.42,119,146,125,152,292,322,299,"-34.5","34.5"
26,518692,"Freeman, Freddie",2582,1,1,3,,4,2.002,1.429,0.731,26,26,104.7,30.8,2280,88.5,88.83,0,26,0,0.29999999999999716,6.48,118,147,127,152,296,322,302,"-38.1","38.1"
26,571448,"Arenado, Nolan",2275,1.1,1,3,,4,2.002,1.402,0.759,26,26,104,27.6,2276,89.3,90.02,0,26,0,0.7000000000000028,6.7,108,152,122,147,301,328,299,"-38.3","38.3"
25,665487,"Tatis Jr., Fernando",2200,1.1,1,3,,4,2.002,1.575,0.816,25,25,105.5,28,2380,87.8,87.82,0,25,0,0,6.35,110,152,122,148,302,327,296,"-32.3","32.3"
25,669261,"Suwinski, Jack",2108,1.2,1,3,,4,2.002,1.647,0.84,25,25,106.3,30.2,2232,88,88.26,0,25,0,0.29999999999999716,6.32,119,145,116,151,297,327,299,"-31.2","31.2"
25,606192,"Hernández, Teoscar",2528,1,1,3,,4,2.002,1.682,0.895,25,25,107.1,25.1,2225,89.9,90.27,0,25,0,0.3999999999999915,6.44,111,152,122,147,303,326,293,"-34.2","34.2"
25,642350,"Siri, Jose",1340,1.9,1,3,,4,2.002,1.436,0.746,25,25,105.6,29.3,2240,88.9,89.14,0,25,0,0.19999999999998863,6.39,110,152,113,147,305,326,291,"-31.8","31.8"
25,650402,"Torres, Gleyber",2486,1,1,3,,4,2.002,1.453,0.764,25,25,104.4,28.1,2246,91.4,91.72,0,25,0,0.29999999999999716,6.49,109,152,121,147,305,327,286,"-30.4","30.4"
25,682998,"Carroll, Corbin",2304,1.1,1,3,,4,2.002,1.331,0.716,25,25,103.6,27.4,2298,88.9,88.98,0,25,0,0.09999999999999432,6.32,115,146,110,151,293,324,303,"-33.6","33.6"
